Title,Description,Year,Runtime,Genres,Seasons
"Devotion, a Story of Love and Desire","Fidelity tells a story of marital fidelity, in particular the one of Carlo and Margherita, a young couple who needs to face the deflagrant consequences of an alleged betrayal. Their relationship becomes a symbol of fidelity, not only as a couple, but also in the personal choices made every day.",2022,40,"['drama', 'romance']",1.0
Baki Hanma,"To gain the skills he needs to surpass his powerful father, Baki enters Arizona State Prison to take on the notorious inmate known as Mr. Unchained.",2021,24,"['thriller', 'animation', 'action', 'drama', 'sport']",2.0
The King's Affection,"When the crown prince is killed, his twin sister assumes the throne while trying to keep her identity and affection for her first love a royal secret.",2021,66,['drama'],1.0
Juvenile Justice,A tough judge balances her aversion to minor offenders with firm beliefs on justice and punishment as she tackles complex cases inside a juvenile court.,2022,61,"['drama', 'crime']",1.0
City of Ghosts,"Meet the Ghost Club! Their adventures take them all around Los Angeles as they interview ghosts, solve problems and learn about their city's history.",2021,19,['drama'],1.0
DOTA: Dragon's Blood,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.",2021,26,"['scifi', 'action', 'thriller', 'animation', 'fantasy']",2.0
Blue Period,"Bored with life, popular high schooler Yatora Yaguchi jumps into the beautiful yet unrelenting world of art after finding inspiration in a painting.",2021,25,"['animation', 'drama']",1.0
The Club,"The most unexpected people can become your chosen family in a place you never thought could be home. In 1950s Istanbul, amid political unrest, a Jewish mother seeks to reconnect with her daughter after being released from prison.",2021,47,"['drama', 'comedy']",2.0
The Raincoat Killer: Chasing a Predator in Korea,"In the early 2000s, Yoo Young-chul hammered his victims to death and cast fear across Seoul. This docuseries recounts the hunt for a prolific killer.",2021,48,"['documentation', 'crime', 'history']",1.0
School of Chocolate,"Eight top pastry and chocolate professionals elevate their skills under the supervision of world-renowned chocolatier, Amaury Guichon.",2021,38,['reality'],1.0
Falling Into Your Smile,"Student Tong Yao makes two vows: to never be in a relationship with someone in the same field and to make up for the Chinese League of Legends. When Tong Yao earns her spot as the first formal female player in China's professional league, she catches the attention of an elite team captain. Facing doubts and inconveniences, she meets each challenge with her own persistence and her teammates' support. After much effort, what will become of her vows? Will she stand on the world stage to make up for six years of regret? Will she avoid a romantic entanglement within the e-sports world?  Adapted from the novel You're Beautiful When You Smile by Qing Mei.",2021,44,"['drama', 'comedy', 'romance']",1.0
Godzilla Singular Point,"Brought together by a mysterious song, a grad student and an engineer lead the fight against an unimaginable force that may spell doom for the world.",2021,24,"['scifi', 'animation', 'action', 'thriller']",1.0
Snabba Cash,"The entrepreneurial jet set as well as the criminal world is more brutal, chaotic and ruthless than ever. When these two worlds collide, loyalty, friendships, and business partners will be tested in the never-ending quest for easy money.",2021,43,"['drama', 'thriller', 'action', 'crime']",2.0
Cocaine Cowboys: The Kings of Miami,Two childhood friends go from high school dropouts to the most powerful drug kingpins in Miami in this true story of a crime sage that spanned decades.,2021,53,"['documentation', 'crime', 'history']",1.0
Wild Abandon,"In the haze of a midlife crisis, an architect begins living a double life as a punk while members of his family lead their own crisis-ridden lives.",2022,51,"['drama', 'comedy']",1.0
EDENS ZERO,"Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother.",2021,24,"['action', 'scifi']",1.0
Pretty Guardians Sailor Moon Eternal The Movie,"When a dark power enshrouds the Earth after a total solar eclipse, the scattered Sailor Guardians must reunite to bring light back into the world.",2021,81,['action'],1.0
The Upshaws,"Bennie Upshaw, the head of a Black working class family in Indianapolis, is a charming, well-intentioned mechanic and lifelong mess just trying his best to step up and care for his family and tolerate his sardonic sister-in-law, all without a blueprint for success.",2021,30,['comedy'],2.0
Love (ft. Marriage and Divorce),"Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",2021,69,"['drama', 'romance']",3.0
Neymar: The Perfect Chaos,"Beloved worldwide but also a lightning rod for criticism, Neymar shares the highs and lows of his personal life and brilliant football career.",2022,55,"['documentation', 'sport']",1.0
"Nevertheless,",The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.,2021,69,"['drama', 'romance']",1.0
Eden,"Thousands of years in the future, a city known as ""Eden 3"" is inhabited solely by robots whose former masters vanished a long time ago. On a routine assignment, two farming robots accidentally awaken a human baby girl from stasis questioning all they were taught to believe -- that humans were nothing more than a forbidden ancient myth. Together, the two robots secretly raise the child in a safe haven outside Eden.",2021,25,"['scifi', 'fantasy', 'animation', 'action', 'drama', 'family']",1.0
Tribes of Europa,"2074. In the wake of a mysterious global disaster, war rages between the Tribes that have emerged from the wreckage of Europe. Three siblings from the peaceful Origine tribe are separated and forced to forge their own paths in an action-packed fight for the future of this new Europa.",2021,47,"['scifi', 'fantasy', 'action', 'drama']",1.0
Q-Force,A handsome secret agent and his team of LGBTQ superspies embark on extraordinary adventures.,2021,23,"['scifi', 'animation', 'action', 'comedy', 'crime', 'fantasy']",1.0
Bad Sport,True crime and sports come together in this docuseries. Global controversies and scandals are explored through reports from those involved.,2021,65,"['crime', 'sport', 'documentation']",1.0
Age of Samurai: Battle for Japan,An exploration of the warring kingdoms of feudal Japan when several powerful warlords fought to become absolute ruler.,2021,43,"['drama', 'history', 'war', 'documentation', 'action']",1.0
Bling Empire,"Follow LA's wildly wealthy Asian and Asian American fun seekers as they go all out with fabulous parties, glamour and drama in this reality series.",2021,39,['reality'],2.0
Surviving Death,"What happens after we die? This docuseries explores personal stories and research on near-death experiences, reincarnation and paranormal phenomena.",2021,54,"['documentation', 'reality']",1.0
Dig Deeper: The Disappearance of Birgit Meier,"After Birgit Meier vanishes in 1989, police missteps plague the case for years. But her brother never wavers in his tireless quest to find the truth.",2021,59,"['crime', 'documentation']",1.0
The Journalist,A journalist known as the maverick of news media defiantly chases the truth in this series adaptation of the hit movie of the same name.,2022,51,"['drama', 'thriller']",1.0
Baking Impossible,Innovative bakers are paired with the brightest engineers to compete in designing and baking creations that are both delicious and made to survive intense engineering stress tests.,2021,49,['reality'],1.0
Beyond Evil,"A serial murder case takes place in the small, peaceful city. The case is the same serial murder case that took place 20 years ago and changed Lee Dong-sik’s life. The two detectives work to catch the killer.",2021,66,"['crime', 'thriller', 'drama']",1.0
Centaurworld,"Centaurworld follows a war horse who is transported from her embattled world to a strange land inhabited by silly, singing centaurs of all species, shapes, and sizes. Desperate to return home, she befriends a group of these magical creatures and embarks on a journey that will test her more than any battle she's ever faced before.",2021,29,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy']",2.0
Power Rangers Dino Fury,"When an army of powerful alien beings is unleashed on Earth threatening life as we know it, a brand-new team of Power Rangers, fueled by the prehistoric power of the dinosaurs, are recruited to deal with the threat.",2021,21,"['comedy', 'drama', 'fantasy', 'scifi', 'thriller', 'action']",2.0
Our Beloved Summer,"Years after filming a viral documentary in high school, two bickering ex-lovers get pulled back in front of the camera — and into each other's lives.",2021,60,"['drama', 'comedy']",1.0
House of Secrets: The Burari Deaths,"Suicide, murder or something else? This docuseries examines chilling truths and theories around the deaths of 11 members of a Delhi family.",2021,45,"['documentation', 'crime', 'history']",1.0
Open Your Eyes,"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment.",2021,47,"['scifi', 'drama', 'thriller']",1.0
Savage Beauty,"In Savage Beauty, Rosemary Zimu plays Zinhle - a first young woman with a tragic past who is determined to take revenge on the Bhengus family, who destroyed a lot of lives with their infernal vision.

Don and Grace Bhengu once used street children to test a toxic beauty product. Many of those children do not have children, but one of the survivors has developed and particular vengeance. But she knows she has to play it smart to play the powerful family.",2022,0,['drama'],1.0
Tiger King: The Doc Antle Story,"A lifelong showman, Bhagavan “Doc” Antle has built his various careers on theatrics, attracting a slew of admirers along the way. But beneath the eccentric, animal-loving facade lies a predator far more dangerous than his beloved big cats and a man shadier than any of his Tiger King counterparts.",2021,42,"['crime', 'documentation']",1.0
Tear Along the Dotted Line,A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.,2021,19,"['drama', 'comedy', 'animation']",1.0
Feels Like Ishq,Short films follow young adults as they navigate the gamut of emotions that come with finding romantic connection in unexpected places.,2021,42,"['drama', 'romance', 'comedy']",1.0
The Creature Cases,"Follows Sam Snow and Kit Casey, two brilliant agents, as they solve mysteries that mix real zoological facts with wild detective action.",2022,0,"['animation', 'family', 'action', 'comedy']",1.0
Octonauts: Above & Beyond,"The Octonauts expand their exploration beyond the sea -- and onto land! With new rides and new friends, they'll protect any habitats and animals at risk.",2021,25,"['family', 'animation']",1.0
Senzo: Murder of a Soccer Star,"Soccer player Senzo Meyiwa was a national hero before his killing shocked South Africa. Who did it, and why? This docuseries dives into the evidence.",2022,40,"['crime', 'documentation']",1.0
The Crew,"When the owner of the fictional NASCAR Bobby Spencer Racing team steps down and passes the team off to his daughter Catherine, the crew chief has to protect himself and his crew from her attempts to  modernize.",2021,29,['comedy'],1.0
The Unlikely Murderer,"After the assassination of prime minister Olof Palme in 1986, Stig Engström managed to elude justice right up to his death through a combination of audacity, luck, and a perplexed police force.",2021,46,"['drama', 'crime']",1.0
Byron Baes,"Australian influencers flock to Byron Bay for its warm, beachy beauty and cool, creative vibe. Follow these friends as they negotiate life and love.",2022,45,['reality'],1.0
The Kingdom,"After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.",2021,47,"['drama', 'crime']",1.0
Spycraft,"The spy game is a serious business, and throughout history, the tools and technologies developed for it have mattered as much as the spies themselves.",2021,34,['documentation'],1.0
"Sex, Love & Goop",Courageous couples head for more pleasurable sex and deeper intimacy with help from Gwyneth Paltrow and a team of experts in this reality series.,2021,35,"['comedy', 'romance']",1.0
Thomas & Friends: All Engines Go!,"In a reboot of the classic TV series, a younger Thomas The Tank Engine goes on adventures with all of his friends, as they work on The Island Of Sodor.",2021,11,"['animation', 'comedy', 'fantasy', 'drama', 'music', 'family']",1.0
Sparking Joy with Marie Kondo,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life and shares her own world.",2021,20,['reality'],1.0
Elite Short Stories: Guzmán Caye Rebe,"Rebe hosts an intimate house warming party for her friends, but the situation takes a dramatic turn with the help of drugs and unexpected visitors.",2021,12,"['drama', 'crime', 'thriller']",1.0
Elite Short Stories: Patrick,"Away from school, during the winter holidays, three new stories take place while the Las Encinas students celebrate Christmas.",2021,12,"['comedy', 'drama']",1.0
Top Secret UFO Projects: Declassified,"Though claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty.",2021,43,['documentation'],1.0
Getting Curious with Jonathan Van Ness,Jonathan Van Ness lets curiosity lead the way while roving from snacks to wigs in this podcast spinoff chock-full of experts and special guests.,2022,26,"['comedy', 'reality']",1.0
The Orbital Children,"In 2045, two children born on the moon and three kids from Earth try to survive after an accident on their space station leaves them stranded.",2022,32,"['action', 'scifi', 'drama', 'fantasy', 'animation']",2.0
Move to Heaven,"Finding life in all that's left behind, a trauma cleaner with Asperger's and his ex-con uncle deliver the untold stories of the departed to loved ones.",2021,52,['drama'],1.0
Gabby's Dollhouse,This colorful series leads preschoolers room to room through a fantastical dollhouse of delightful mini-worlds and irresistible kitty characters.,2021,23,"['fantasy', 'animation', 'comedy', 'family']",4.0
Fatma,"Reeling from tragedy, a nondescript house cleaner embarks on a murderous streak as she searches for her missing husband and reckons with old wounds.",2021,42,"['crime', 'drama', 'thriller']",1.0
Single’s Inferno,"On a deserted island, flirtatious singles look for love, because only as a couple can they leave the island for a romantic date in paradise.",2021,64,['reality'],2.0
Inspector Koo,"A reclusive ex-cop reenters the game as an insurance investigator, searching for clues in crime scenes perfectly staged by a serial killer in her midst.",2021,69,"['action', 'comedy', 'thriller']",1.0
Last Chance U: Basketball,Hit the hardwood in East Los Angeles as a coach with strong convictions leads young men who hope to fulfill major college potential.,2021,60,"['documentation', 'sport']",1.0
Waffles + Mochi,Curious puppet pals Waffles and Mochi travel the world exploring the wonders of food and culture while learning how to cook with fresh ingredients.,2021,30,['family'],1.0
Sisyphus,An unfathomable incident introduces a genius engineer to dangerous secrets of the world — and to a woman from the future who's come looking for him.,2021,71,"['action', 'fantasy', 'scifi', 'drama']",1.0
Love is Blind: Japan,"In this reality dating series, marriage-minded singles in Japan meet, date and get engaged before ever setting eyes on each other.",2022,57,"['reality', 'romance']",1.0
Back to 15,"Unhappy at work and in her personal life, Anita discovers a way to travel back to age 15. What will she change in her past? Starring Maisa.",2022,39,"['comedy', 'drama']",1.0
Battle Kitty,"In a futuristic-medieval world, warriors must find and defeat all the monsters on Battle Island, collecting their coveted keys in order to become 'Champion'. Cut to Kitty and Orc, two best friends on a mission to help Kitty become Champion their way through cuteness and friendship. The two embark on the journey to Championhood, facing many obstacles and naysayers only to discover a surprise waiting for them at the Ancient Ruins.",2022,32,"['animation', 'action', 'comedy', 'family', 'fantasy', 'scifi']",1.0
Misfit: The Series,"The Misfits are in for a wild year as they prepare a school musical. But when the strict new headmaster bans the show, it's up to Julia to save the day.",2021,24,['comedy'],1.0
Once Upon a Time... Happily Never After,"A tragically separated couple must find each other in another life to break a spell on their town, but the arrival of two tourists threaten their chance.",2022,30,"['scifi', 'comedy', 'fantasy']",1.0
Aranyak,"After a foreign teenage tourist goes missing in a misty village, Kasturi, a frazzled local cop, is forced to team up with her city-bred successor, Angad, on a high-profile case that unearths skeletons and resurrects a long-forgotten legend of a savage serial killer in the woods.",2021,41,"['crime', 'thriller', 'drama']",1.0
Ganglands,"Mehdi, a qualified robber, and Liana, an apprentice thief, get involved in a turf war between drug dealers, and have to collaborate in order to save their loved ones.",2021,46,"['action', 'crime', 'drama', 'thriller']",1.0
Elite Short Stories: Nadia Guzmán,"Nadia feels conflicted about whether or not to see her long distance boyfriend, Guzmán, when she returns to Spain for her sister's wedding.",2021,11,"['drama', 'romance']",1.0
Swap Shop,"When the ""Swap Shop"" radio show shares the scoop on sweet deals, collectors of cars, comics, creepy clown statues and more listen with ears wide open.",2021,30,['reality'],2.0
Headspace Guide to Meditation,"The series shows how meditation can help in your daily life. From tackling stress to embracing gratitude, each episode first teaches the basics and techniques of the practice, and then concludes with a guided meditation. Push play, close your eyes, and explore the many benefits of meditation.",2021,22,"['documentation', 'animation']",1.0
Twenty Somethings: Austin,"Set in Austin, Texas, this growing-up reality show is where twenty-somethings find love, friendship and embark on a new adventure: life.",2021,30,['reality'],1.0
The Parisian Agency: Exclusive Properties,A reality series about the family Kretz who sells apartments to rich customers in France and the rest of the world.,2021,54,['reality'],2.0
Penguin Town,"In a picturesque South African town, an eclectic group of endangered penguins flock together to find mates, raise families and mix with the locals.",2021,30,"['documentation', 'drama', 'family', 'comedy']",1.0
Kitz,"A year after the tragic death of her brother, Lisi enters the decadent world of a Munich clique at a ski resort, but soon she kicks off an avalanche that reveals the truth behind the facade full of glamor, money and hedonism.",2021,44,"['thriller', 'drama']",1.0
A Sinister Sect: Colonia Dignidad,"A sect of German Christians with a charismatic, manipulative leader establishes a colony in Chile and develops into a mainstay of the dictatorship.",2021,51,['documentation'],1.0
This Is Pop,"Uncover the real stories behind your favorite pop songs as this docuseries charts the impact of the festival scene, Auto-Tune, boy bands and more.",2021,44,"['music', 'documentation']",1.0
Transformers: War for Cybertron: Kingdom,The frantic race to locate the Allspark first culminates on a strange planet as the future comes crashing through to the present day.,2021,24,"['action', 'scifi']",1.0
Elite Short Stories: Phillipe Caye Felipe,"Away from school, during the winter holidays, three new stories take place while the Las Encinas students celebrate Christmas.",2021,13,"['comedy', 'drama', 'romance']",1.0
Luna Park,"In 1960s Rome, a meeting between a free-spirited young woman who grew up in her family's circus and a girl of wealthy descent leads to secrets, intrigue, and unexpected loves.",2021,50,"['drama', 'romance']",1.0
Forecasting Love and Weather,"Inside a national weather service, love proves just as difficult to predict as rain or shine for a diligent forecaster and her free-spirited co-worker.",2022,66,"['drama', 'romance']",1.0
The Fame Game,"When India's most famous actress goes missing, the search for her chips away at the flawless facade of her life and family, revealing painful truths.",2022,47,['crime'],1.0
Amend: The Fight for America,"When the United States of America was founded, the ideals of freedom and equality did not apply to all people. These are the stories of the brave Americans who fought to right the nation’s wrongs and enshrine the values we hold most dear into the Constitution — with liberty and justice for all.",2021,59,"['war', 'documentation', 'history']",1.0
Go Dog Go,"Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way.",2021,24,['animation'],2.0
Selling Tampa,"Along the Florida coast, Allure Realty stands out among the crowd. Owned by military vet Sharelle Rosado, this all Black, all female real estate firm has its eyes set on dominating the Suncoast. These ladies are equally as fun as they are fiercely ambitious, with all of them vying to be on top of the lavish world of luxury waterfront real estate. Sharelle has big plans for her brokerage and won't let anyone or anything get in the way of making her dreams a reality.
",2021,40,['reality'],1.0
Zero Chill,"Talented teen figure skater Kayla is forced to leave everything behind when her family follows her twin brother, Mac, to a prestigious hockey academy.",2021,30,"['drama', 'comedy']",1.0
Elves,A Christmas vacation turns into a nightmare for a teenager and her family when they discover an ancient menace that stalks their island getaway.,2021,24,"['fantasy', 'horror', 'thriller', 'family', 'drama', 'scifi']",1.0
Light the Night,"Taking the hotel on Linsen North Road in Taiwan as the background, it is a realistic drama that describes the love and hatred between the Japanese-style hotel proprietress and Yang Jin Hua in 1988 and a group of amorous ladies under her.",2021,57,"['drama', 'thriller', 'crime']",3.0
800 Meters,"On Aug. 17, 2017, Spain suffers two terrorist attacks perpetrated by young people integrated into Spanish society. How could something like this happen?",2022,52,"['documentation', 'crime']",1.0
Action Pack,"The heroic kids of the Action Academy take on the bad guys with their hearts, their wits and their superpowers, and bring out the best in them.",2022,28,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation']",1.0
Finding Ola,"After a life-altering event, Ola Abd ElSabour embarks on a journey of self-discovery and deals with the challenges of a new reality. Hend Sabry stars.",2022,53,"['comedy', 'drama']",1.0
Pui Pui Molcar,"The setting is a world where people drive sentient vehicles that are hybrids between guinea pigs and cars – ""Molcars""! Molcars have round eyes, big soft butts, and short arms and legs as they trot along. They run around with a silly look on their face, and even when you're stuck in traffic, you can be put at ease just by gazing at the guinea pig butt in front of you! Even if they cause a bit of trouble, it's easy to forgive them because they're so cute and fluffy! This is an animation focusing on various situations unique to cars, full of satisfaction, friendship, adventure, crazy action, and tons of guinea pigs!",2021,2,"['animation', 'comedy', 'family']",1.0
Generation 56K,"Told from two points of view, a couple begins dating during the era of the 56K modem and navigates their relationship over the next two decades.",2021,30,"['comedy', 'drama', 'romance']",1.0
Elite Short Stories: Samuel Omar,"Away from school, during the winter holidays, three stories take place while the Las Encinas students celebrate Christmas.",2021,12,"['comedy', 'drama']",1.0
Call My Agent Bollywood,"From pulling off casting coups to calming celebrity egos, the drama never stops for four Mumbai talent agents hustling to save their sinking company.",2021,45,"['drama', 'comedy']",1.0
Elite Short Stories: Omar Ander Alexis,"Now in remission, Ander is set on spending his summer helping Alexis, his chemo partner, go through treatment.",2021,12,"['drama', 'crime', 'thriller']",1.0
"Young, Famous & African","This reality series follows a crew of famed, affluent stars as they work and play, flirt and feud in Johannesburg, South Africa. This all-African reality series includes actor Khanyi Mbau, musician Diamond Platnumz and rapper Nadia Nakai.",2022,43,['reality'],1.0
Elite Short Stories: Carla Samuel,"Samuel attempts a big, romantic gesture at the airport in order to persuade Carla not to board her flight to London.",2021,14,"['drama', 'romance']",1.0
Kid Cosmic,"A young boy who dreams of becoming a hero, stumbles across some cosmic stones of power. His dreams appear to have come true.",2021,23,"['action', 'comedy', 'family', 'fantasy', 'scifi', 'animation']",3.0
Framed! A Sicilian Murder Mystery,"After two hapless TV technicians stumble upon a murder scene, every step they take to avoid becoming suspects lands them in deeper trouble.",2022,31,"['comedy', 'crime']",1.0
AlRawabi School for Girls,The bullied outcasts at prestigious Al Rawabi School for Girls plot a series of risky takedowns to get back at their tormentors.,2021,48,['drama'],1.0
Until Life Do Us Part,"The family Paixão runs a farm for wedding parties, but the business is not going well. While the love between the parents, Vanessa and Daniel appears to have ended, the grandparents, Luisa and Joaquim, seem inseparable; and the children, Rita and Marco, have completely distinct opinions about love.",2021,41,['drama'],1.0
50M2,"After being betrayed by his boss, a hitman hides out in a vacant tailor shop, where he's mistaken for the late owner's son, an identity he decides to embrace.",2021,49,"['comedy', 'drama', 'thriller', 'crime']",1.0
Savage Rhythm,The opposite worlds of two dancers in Colombia clash on and off the dance floor when their ambition to succeed leads them down a treacherous path.,2022,38,"['drama', 'music']",1.0
Coming Out Colton,"Former NFL player and ""Bachelor"" star Colton Underwood embarks on a journey to embrace his new life as an out member of the LGBTQ community.",2021,36,['reality'],1.0
I Am Georgina,"Join Georgina Rodríguez - mom, influencer, businesswoman and Cristiano Ronaldo's partner - in this emotional and in-depth portrait of her daily life.",2022,41,['reality'],1.0
Angry Birds: Summer Madness,"Sparks and feathers fly when a teenage Red, Chuck, Bomb and Stella spend a wild summer together with other Angry Birds at Camp Splinterwood.",2022,14,"['action', 'comedy', 'family', 'fantasy', 'animation']",1.0
The Lost Pirate Kingdom,The real-life pirates of the Caribbean violently plunder the world's riches and form a surprisingly egalitarian republic in this documentary series.,2021,43,"['documentation', 'drama', 'history']",1.0
Sky Rojo,"Coral, Wendy, and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.",2021,27,"['action', 'crime', 'drama', 'thriller']",3.0
Johnny Hallyday: Beyond Rock,Johnny Hallyday in his own words. This intimate docuseries explores the life and career of France's rock icon through archival film and interviews.,2022,35,"['documentation', 'music']",1.0
You Are My Spring,A hotel concierge and a psychiatrist with traumatic childhoods form a heartfelt bond when they become entangled in a perplexing local murder case.,2021,69,"['drama', 'romance', 'thriller', 'fantasy']",1.0
Russell Howard: Lubricant,This two-part special features comic Russell Howard's delayed-yet-delighted return to the stage and a look at his life during an unexpected lockdown.,2021,63,['comedy'],1.0
Chicago Party Aunt,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,2021,23,"['comedy', 'animation']",1.0
Money Heist: From Tokyo to Berlin,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional and artistic process of filming Money Heist.",2021,53,"['documentation', 'crime', 'drama']",2.0
Queer Eye Germany,"Five experts in lifestyle, fashion, beauty, health and design — known as the Fab Five — dazzle a nation and transform lives in this makeover series.",2022,50,['reality'],1.0
Love Never Lies,"Six couples are subjected to an eye-scanning lie detector in this reality show where lies cost money, and truth and trust come with a juicy cash prize.",2021,50,['reality'],1.0
Naomi Osaka,What does it feel like to be one of the best tennis players in the world? An intimate look inside the life of one of the most gifted and complex athletes of her generation offers insight into the tough decisions and ecstatic triumphs that shape Naomi Osaka as both an elite global superstar and a young woman navigating a pressure-filled world.,2021,37,"['documentation', 'sport']",1.0
Sexify,"To build an innovative sex app and win a tech competition, a sexually inexperienced student and her friends must explore the daunting world of intimacy.",2021,44,"['drama', 'comedy']",1.0
Motel Makeover,"Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway.",2021,30,['reality'],1.0
JAPAN SINKS: People of Hope,"In 2023 in Tokyo, Prime Minister Eiichi Higashiyama pushes for COMS at the World Environment Conference. COMS is a method to liquify pollutants and store it in the crack of the sea floor. Prime Minister Eiichi Higashiyama gathers young and talented bureaucrats and launches Japan Future Promotion Conference, which is to benefit the future of Japan. Keishi Amami of the Ministry of the Environment and Kōichi Tokiwa of the Ministry of Economy, Trade, and Industry are members of that conference.",2021,54,"['scifi', 'war', 'drama']",1.0
Invisible City,An environmental police officer uncovers a hidden world of mythological entities from Brazilian folklore when he finds a connection between the mysterious appearance of a dead river dolphin on a Rio de Janeiro beach and the death of his beloved wife.,2021,36,"['drama', 'fantasy', 'thriller', 'crime']",2.0
The Time It Takes,"Lina moves house, looks for a new job, and tries new things in an attempt to forget her first love. Starring Nadia de Santiago and Álvaro Cervantes.",2021,13,"['drama', 'romance', 'comedy']",1.0
Too Hot to Handle: Brazil,"Sizzling hot young Brazilians meet at a dreamy beach resort. But for a shot at R$500,000 in this fun reality show, they'll have to give up sex.",2021,56,"['reality', 'romance']",1.0
That Girl Lay Lay,"That Girl Lay Lay follows Lay Lay, the perfect hype girl and best friend that anyone could ever want from their personal affirmation app. Struggling to make her mark at school and needing a best friend to talk to, Sadie wishes upon a star that Lay Lay was real and could help teach her how to stand out. When her wish comes true and Lay Lay is magically brought to life, the two friends learn that when they are together, they can accomplish anything, and navigate life as teenagers and discover who they truly are.",2021,23,['comedy'],2.0
Alessandro Cattelan: One Simple Question,Alessandro Cattelan searches for happiness through interviews and unique experiences with celebrity guests like Paolo Sorrentino and Roberto Baggio.,2022,30,"['comedy', 'reality']",1.0
Sexy Beasts,"Hoping to say goodbye to superficial dating, real-life singles sport elaborate makeup and prosthetics to put true blind-date chemistry to the test.",2021,23,"['reality', 'romance']",2.0
Worn Stories,"In this funny, heartfelt and moving docuseries, real people unpack the fascinating and quirky stories around their most meaningful pieces of clothing.",2021,30,['documentation'],1.0
WWII in Color: Road to Victory,Gripping historical footage and expert commentary give detailed insights into the leading figures and decisive turning points of World War II.,2021,51,"['documentation', 'history', 'war']",1.0
Everything Will Be Fine,A separated couple live together for their child's sake in this satirical dramedy about what it means to be a good parent and spouse in today's world.,2021,32,"['comedy', 'drama']",1.0
Fishbowl Wives,"Due to an accident, Sakura Hiraga gave up on her dream. She is now married and her husband runs a hair salon. They live in a luxurious penthouse apartment. Her life seems glamorous and she is envied by everyone. What everyone does not know is that Sakura Hiraga is abused physically and verbally by her husband. She is unable to leave her situation. Sakura Hiraga considers herself a goldfish in a fishbowl. One day, due to a goldfish, she meets a man.",2022,43,"['drama', 'romance']",1.0
Soil,A young entrepreneur turns Belgium's Moroccan community on its head by trying to change their funeral tradition.,2021,48,"['comedy', 'drama']",1.0
Why Are You Like This?,"Penny and Mia are best friends, but they are not good for each other or anyone else. Leaving a path of destruction in their wake wherever they go, they say and do what they want - regardless of the consequences.",2021,24,['comedy'],1.0
Eternally Confused and Eager for Love,"Often (mis)guided by a cheeky imaginary wizard, an awkward and lonely 20-something struggles to get out of his own way in his quest for a girlfriend.",2022,23,"['comedy', 'romance']",1.0
Blown Away: Christmas,'Tis the season for five returning artists to fill the hot shop with festive designs. One will win cash for the stocking — a merry Christmas indeed!,2021,29,['reality'],1.0
The Motive,"In Jerusalem 1986, a 14-year-old boy shoots his family point-blank in their beds. Yet questions persist. In this docuseries, insiders come forward.",2021,35,"['crime', 'documentation']",1.0
"Love, Life & Everything in Between",This black humor pan-Arabic anthology series is about love in general – and relationships in particular.,2022,27,"['drama', 'comedy', 'romance']",1.0
Where Is Marta?,"Teenager Marta del Castillo's disappearance made headlines in Spain. Family, friends, police and more weigh in on a case that is still unresolved.",2021,63,"['crime', 'documentation']",1.0
Daughter from Another Mother,"After finding out their babies were switched at birth, two women develop a plan to adjust to their new lives creating a single and very peculiar family.",2021,38,"['romance', 'fantasy', 'comedy', 'drama']",2.0
John of God: The Crimes of a Spiritual Healer,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press.",2021,50,"['crime', 'documentation']",1.0
Insiders,"Twelve people think they're in the final casting round for a reality show. In fact, they're already being secretly filmed, with 100,000 euros at stake.",2021,48,['reality'],2.0
Too Hot to Handle: Latino,"Singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",2021,36,"['reality', 'romance']",1.0
Pedal to Metal,"After a race they drive in ends fatally, friends Kike and Noche flee to Mexico City to hide, rebuild their lives and escape danger ... or at least try.",2022,38,"['action', 'crime', 'thriller', 'drama']",1.0
